ESTADO;INSTRUMENTO;NO_MACROREGIONAL;REGIAO;MUNICIPIO;STATUS;FASE;ANO;DATA_PROCESSAMENTO
MA;Programação Anual de Saúde;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Aprovado;2022-2025;2025;2025-10-20
MA;1º RDQA;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Em Análise no Conselho de Saúde;2022-2025;2025;2025-10-20
MA;2º RDQA;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Em Elaboração;2022-2025;2025;2025-10-20
MA;3º RDQA;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Não Iniciado;2022-2025;2025;2025-10-20
MA;RAG;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Não Iniciado;2022-2025;2025;2025-10-20
MA;Plano de Saúde;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Aprovado;2022-2025;;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Aprovado;2022-2025;2022;2025-10-20
MA;1º RDQA;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Avaliado;2022-2025;2022;2025-10-20
MA;2º RDQA;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Avaliado;2022-2025;2022;2025-10-20
MA;3º RDQA;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Avaliado;2022-2025;2022;2025-10-20
MA;RAG;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Em Análise no Conselho de Saúde;2022-2025;2022;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Aprovado;2022-2025;2023;2025-10-20
MA;1º RDQA;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Avaliado;2022-2025;2023;2025-10-20
MA;2º RDQA;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Avaliado;2022-2025;2023;2025-10-20
MA;3º RDQA;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Avaliado;2022-2025;2023;2025-10-20
MA;RAG;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Aprovado;2022-2025;2023;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Aprovado;2022-2025;2024;2025-10-20
MA;1º RDQA;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Avaliado;2022-2025;2024;2025-10-20
MA;2º RDQA;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Avaliado;2022-2025;2024;2025-10-20
MA;3º RDQA;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Avaliado;2022-2025;2024;2025-10-20
MA;RAG;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Aprovado;2022-2025;2024;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Aprovado;2022-2025;2025;2025-10-20
MA;1º RDQA;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Avaliado;2022-2025;2025;2025-10-20
MA;2º RDQA;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Não Iniciado;2022-2025;2025;2025-10-20
MA;3º RDQA;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Não Iniciado;2022-2025;2025;2025-10-20
MA;RAG;MACRORREGIAO LESTE;Caxias;AFONSO CUNHA;Não Iniciado;2022-2025;2025;2025-10-20
MA;Plano de Saúde;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Aprovado;2022-2025;;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Aprovado;2022-2025;2022;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Avaliado;2022-2025;2022;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Avaliado;2022-2025;2022;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Avaliado;2022-2025;2022;2025-10-20
MA;RAG;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Aprovado;2022-2025;2022;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Aprovado;2022-2025;2023;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Avaliado;2022-2025;2023;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Avaliado;2022-2025;2023;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Avaliado;2022-2025;2023;2025-10-20
MA;RAG;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Aprovado;2022-2025;2023;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Aprovado;2022-2025;2024;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Avaliado;2022-2025;2024;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Avaliado;2022-2025;2024;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Avaliado;2022-2025;2024;2025-10-20
MA;RAG;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Em Análise no Conselho de Saúde;2022-2025;2024;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Não Iniciado;2022-2025;2025;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Não Iniciado;2022-2025;2025;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Não Iniciado;2022-2025;2025;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Não Iniciado;2022-2025;2025;2025-10-20
MA;RAG;MACRORREGIAO NORTE;Chapadinha;AGUA DOCE DO MARANHAO;Não Iniciado;2022-2025;2025;2025-10-20
MA;Plano de Saúde;MACRORREGIAO NORTE;São Luís;ALCANTARA;Aprovado;2022-2025;;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;São Luís;ALCANTARA;Em Análise no Conselho de Saúde;2022-2025;2022;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;São Luís;ALCANTARA;Em Elaboração;2022-2025;2022;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;São Luís;ALCANTARA;Não Iniciado;2022-2025;2022;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;São Luís;ALCANTARA;Não Iniciado;2022-2025;2022;2025-10-20
MA;RAG;MACRORREGIAO NORTE;São Luís;ALCANTARA;Não Iniciado;2022-2025;2022;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;São Luís;ALCANTARA;Em Análise no Conselho de Saúde;2022-2025;2023;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;São Luís;ALCANTARA;Em Elaboração;2022-2025;2023;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;São Luís;ALCANTARA;Em Elaboração;2022-2025;2023;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;São Luís;ALCANTARA;Em Elaboração;2022-2025;2023;2025-10-20
MA;RAG;MACRORREGIAO NORTE;São Luís;ALCANTARA;Não Iniciado;2022-2025;2023;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;São Luís;ALCANTARA;Em Análise no Conselho de Saúde;2022-2025;2024;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;São Luís;ALCANTARA;Em Elaboração;2022-2025;2024;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;São Luís;ALCANTARA;Não Iniciado;2022-2025;2024;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;São Luís;ALCANTARA;Não Iniciado;2022-2025;2024;2025-10-20
MA;RAG;MACRORREGIAO NORTE;São Luís;ALCANTARA;Não Iniciado;2022-2025;2024;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;São Luís;ALCANTARA;Retornado para Ajustes;2022-2025;2025;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;São Luís;ALCANTARA;Em Elaboração;2022-2025;2025;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;São Luís;ALCANTARA;Não Iniciado;2022-2025;2025;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;São Luís;ALCANTARA;Não Iniciado;2022-2025;2025;2025-10-20
MA;RAG;MACRORREGIAO NORTE;São Luís;ALCANTARA;Não Iniciado;2022-2025;2025;2025-10-20
MA;Plano de Saúde;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Aprovado;2022-2025;;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Aprovado;2022-2025;2022;2025-10-20
MA;1º RDQA;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Avaliado;2022-2025;2022;2025-10-20
MA;2º RDQA;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Avaliado;2022-2025;2022;2025-10-20
MA;3º RDQA;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Avaliado;2022-2025;2022;2025-10-20
MA;RAG;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Aprovado;2022-2025;2022;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Aprovado;2022-2025;2023;2025-10-20
MA;1º RDQA;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Avaliado;2022-2025;2023;2025-10-20
MA;2º RDQA;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Avaliado;2022-2025;2023;2025-10-20
MA;3º RDQA;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Avaliado;2022-2025;2023;2025-10-20
MA;RAG;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Aprovado;2022-2025;2023;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Aprovado;2022-2025;2024;2025-10-20
MA;1º RDQA;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Avaliado;2022-2025;2024;2025-10-20
MA;2º RDQA;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Avaliado;2022-2025;2024;2025-10-20
MA;3º RDQA;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Avaliado;2022-2025;2024;2025-10-20
MA;RAG;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Aprovado;2022-2025;2024;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Aprovado;2022-2025;2025;2025-10-20
MA;1º RDQA;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Avaliado;2022-2025;2025;2025-10-20
MA;2º RDQA;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Avaliado;2022-2025;2025;2025-10-20
MA;3º RDQA;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Não Iniciado;2022-2025;2025;2025-10-20
MA;RAG;MACRORREGIAO LESTE;Caxias;ALDEIAS ALTAS;Não Iniciado;2022-2025;2025;2025-10-20
MA;Plano de Saúde;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Aprovado;2022-2025;;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Aprovado;2022-2025;2022;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Avaliado;2022-2025;2022;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Avaliado;2022-2025;2022;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Avaliado;2022-2025;2022;2025-10-20
MA;RAG;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Aprovado;2022-2025;2022;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Aprovado;2022-2025;2023;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Avaliado;2022-2025;2023;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Avaliado;2022-2025;2023;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Avaliado;2022-2025;2023;2025-10-20
MA;RAG;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Aprovado;2022-2025;2023;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Aprovado;2022-2025;2024;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Avaliado;2022-2025;2024;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Avaliado;2022-2025;2024;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Avaliado;2022-2025;2024;2025-10-20
MA;RAG;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Aprovado;2022-2025;2024;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Em Elaboração;2022-2025;2025;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Não Iniciado;2022-2025;2025;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Não Iniciado;2022-2025;2025;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Não Iniciado;2022-2025;2025;2025-10-20
MA;RAG;MACRORREGIAO NORTE;Bacabal;ALTAMIRA DO MARANHAO;Não Iniciado;2022-2025;2025;2025-10-20
MA;Plano de Saúde;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Aprovado;2022-2025;;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Aprovado;2022-2025;2022;2025-10-20
MA;1º RDQA;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Avaliado;2022-2025;2022;2025-10-20
MA;2º RDQA;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Avaliado;2022-2025;2022;2025-10-20
MA;3º RDQA;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Avaliado;2022-2025;2022;2025-10-20
MA;RAG;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Aprovado;2022-2025;2022;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Aprovado;2022-2025;2023;2025-10-20
MA;1º RDQA;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Avaliado;2022-2025;2023;2025-10-20
MA;2º RDQA;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Avaliado;2022-2025;2023;2025-10-20
MA;3º RDQA;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Avaliado;2022-2025;2023;2025-10-20
MA;RAG;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Aprovado;2022-2025;2023;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Em Elaboração;2022-2025;2024;2025-10-20
MA;1º RDQA;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Não Iniciado;2022-2025;2024;2025-10-20
MA;2º RDQA;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Não Iniciado;2022-2025;2024;2025-10-20
MA;3º RDQA;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Não Iniciado;2022-2025;2024;2025-10-20
MA;RAG;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Não Iniciado;2022-2025;2024;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Em Elaboração;2022-2025;2025;2025-10-20
MA;1º RDQA;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Não Iniciado;2022-2025;2025;2025-10-20
MA;2º RDQA;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Não Iniciado;2022-2025;2025;2025-10-20
MA;3º RDQA;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Não Iniciado;2022-2025;2025;2025-10-20
MA;RAG;MACRORREGIAO LESTE;Codó;ALTO ALEGRE DO MARANHAO;Não Iniciado;2022-2025;2025;2025-10-20
MA;Plano de Saúde;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Aprovado;2022-2025;;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Aprovado;2022-2025;2022;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Avaliado;2022-2025;2022;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Avaliado;2022-2025;2022;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Avaliado;2022-2025;2022;2025-10-20
MA;RAG;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Aprovado;2022-2025;2022;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Aprovado;2022-2025;2023;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Avaliado;2022-2025;2023;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Avaliado;2022-2025;2023;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Avaliado;2022-2025;2023;2025-10-20
MA;RAG;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Aprovado;2022-2025;2023;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Aprovado;2022-2025;2024;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Avaliado;2022-2025;2024;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Avaliado;2022-2025;2024;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Avaliado;2022-2025;2024;2025-10-20
MA;RAG;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Aprovado;2022-2025;2024;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Aprovado;2022-2025;2025;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Avaliado;2022-2025;2025;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Não Iniciado;2022-2025;2025;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Não Iniciado;2022-2025;2025;2025-10-20
MA;RAG;MACRORREGIAO NORTE;Santa Inês;ALTO ALEGRE DO PINDARE;Não Iniciado;2022-2025;2025;2025-10-20
MA;Plano de Saúde;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Aprovado;2022-2025;;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Aprovado;2022-2025;2022;2025-10-20
MA;1º RDQA;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Avaliado;2022-2025;2022;2025-10-20
MA;2º RDQA;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Avaliado;2022-2025;2022;2025-10-20
MA;3º RDQA;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Avaliado;2022-2025;2022;2025-10-20
MA;RAG;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Aprovado;2022-2025;2022;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Aprovado;2022-2025;2023;2025-10-20
MA;1º RDQA;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Avaliado;2022-2025;2023;2025-10-20
MA;2º RDQA;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Avaliado;2022-2025;2023;2025-10-20
MA;3º RDQA;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Avaliado;2022-2025;2023;2025-10-20
MA;RAG;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Aprovado;2022-2025;2023;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Aprovado;2022-2025;2024;2025-10-20
MA;1º RDQA;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Em Análise no Conselho de Saúde;2022-2025;2024;2025-10-20
MA;2º RDQA;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Avaliado;2022-2025;2024;2025-10-20
MA;3º RDQA;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Não Iniciado;2022-2025;2024;2025-10-20
MA;RAG;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Aprovado;2022-2025;2024;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Aprovado;2022-2025;2025;2025-10-20
MA;1º RDQA;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Em Elaboração;2022-2025;2025;2025-10-20
MA;2º RDQA;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Em Elaboração;2022-2025;2025;2025-10-20
MA;3º RDQA;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Não Iniciado;2022-2025;2025;2025-10-20
MA;RAG;MACRORREGIAO SUL;Balsas;ALTO PARNAIBA;Não Iniciado;2022-2025;2025;2025-10-20
MA;Plano de Saúde;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Aprovado;2022-2025;;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Aprovado;2022-2025;2022;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Em Análise no Conselho de Saúde;2022-2025;2022;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Não Iniciado;2022-2025;2022;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Não Iniciado;2022-2025;2022;2025-10-20
MA;RAG;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Não Iniciado;2022-2025;2022;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Aprovado;2022-2025;2023;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Não Iniciado;2022-2025;2023;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Não Iniciado;2022-2025;2023;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Não Iniciado;2022-2025;2023;2025-10-20
MA;RAG;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Não Iniciado;2022-2025;2023;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Aprovado;2022-2025;2024;2025-10-20
MA;1º RDQA;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Não Iniciado;2022-2025;2024;2025-10-20
MA;2º RDQA;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Não Iniciado;2022-2025;2024;2025-10-20
MA;3º RDQA;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Não Iniciado;2022-2025;2024;2025-10-20
MA;RAG;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Não Iniciado;2022-2025;2024;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO NORTE;Zé Doca;AMAPA DO MARANHAO;Aprovado;2022-2025;2025;2025-10-20
