TIPO_INSTRUMENTO;ESFERA;IBGE;UF;REGIAO;MACRORREGIAO;MUNICIPIO;EXERCICIO;FASE;SITUACAO;DATA
"3º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2020";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2021";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2021";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2021";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2023";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2023";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2024";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2024";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2024";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2024";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2024";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2025";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2025";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2025";"2022-2025";"Em Elaboração";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2018";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2018";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2019";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2019";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2020";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2020";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2020";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2020";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2020";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2021";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2021";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2022";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2025";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2025";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210010";"MA";"Caxias";"MACRORREGIAO LESTE";"AFONSO CUNHA";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2024";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210015";"MA";"Chapadinha";"MACRORREGIAO NORTE";"AGUA DOCE DO MARANHAO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210020";"MA";"São Luís";"MACRORREGIAO NORTE";"ALCANTARA";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210020";"MA";"São Luís";"MACRORREGIAO NORTE";"ALCANTARA";"2018";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210020";"MA";"São Luís";"MACRORREGIAO NORTE";"ALCANTARA";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210020";"MA";"São Luís";"MACRORREGIAO NORTE";"ALCANTARA";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210020";"MA";"São Luís";"MACRORREGIAO NORTE";"ALCANTARA";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210020";"MA";"São Luís";"MACRORREGIAO NORTE";"ALCANTARA";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
